Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-freezing/no response,social avoidance,STATE,338.000,339.567,1.567,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,10140,10187,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,351.767,353.800,2.033,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,10553,10614,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,357.867,358.900,1.033,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,10736,10767,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,360.967,362.933,1.966,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,10829,10888,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,382.500,385.100,2.600,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,11475,11553,,,startle ,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,387.733,389.733,2.000,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,11632,11692,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,391.200,393.433,2.233,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,11736,11803,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,391.567,394.567,3.000,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,11747,11837,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,395.567,398.033,2.466,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,11867,11941,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,395.867,396.667,0.800,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,11876,11900,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,403.133,407.600,4.467,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,12094,12228,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,403.400,407.300,3.900,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,12102,12219,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,410.033,412.367,2.334,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,12301,12371,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-avoidance,social avoidance,STATE,411.267,411.633,0.366,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,12338,12349,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,411.633,417.400,5.767,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,12349,12522,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,413.867,415.600,1.733,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,12416,12468,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,470.567,471.667,1.100,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,14117,14150,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,479.833,481.333,1.500,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,14395,14440,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,506.700,507.167,0.467,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,15201,15215,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,524.000,528.467,4.467,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,15720,15854,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,524.233,527.267,3.034,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,15727,15818,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,547.767,552.567,4.800,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,16433,16577,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,547.767,551.567,3.800,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,16433,16547,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,555.000,555.500,0.500,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,16650,16665,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-avoidance,social avoidance,STATE,555.067,555.733,0.666,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,16652,16672,,,defense behavior: kick back,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-social behavior,prosocial behavior,STATE,567.733,568.500,0.767,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,17032,17055,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,568.733,570.233,1.500,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,17062,17107,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,569.400,570.433,1.033,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,17082,17113,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-avoidance,social avoidance,STATE,595.800,596.400,0.600,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,17874,17892,,,typical avoidance,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,596.067,600.367,4.300,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,17882,18011,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,598.933,601.667,2.734,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,17968,18050,,,immobility,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-social behavior,prosocial behavior,STATE,646.667,647.267,0.600,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,19400,19418,,,short social behavior and withdrawal?,
