Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
0428_18_55_10,Exp_withdraw,585.3333333333334,586.5666666666667,17560,17596,1.2333333333333334
0428_18_55_10,Exp_withdraw,587.1333333333333,587.6333333333333,17614,17628,0.5
0428_18_55_10,Exp_withdraw,588.4333333333333,589.0333333333333,17653,17670,0.6
0428_18_55_10,Exp_withdraw,590.2,591.4,17706,17741,1.2
0428_18_55_10,Exp_freeze,32.03333333333333,34.03333333333333,961,1020,2.0
0428_18_55_10,Exp_freeze,38.03333333333333,40.333333333333336,1141,1209,2.3
0428_18_55_10,Exp_freeze,55.93333333333333,56.43333333333333,1678,1692,0.5
0428_18_55_10,Exp_freeze,61.333333333333336,61.93333333333333,1840,1857,0.6
0428_18_55_10,Exp_freeze,111.86666666666666,113.16666666666667,3356,3394,1.3
0428_18_55_10,Exp_freeze,128.13333333333333,129.26666666666668,3844,3877,1.1333333333333333
0428_18_55_10,Exp_freeze,299.3666666666667,301.6666666666667,8981,9049,2.3
0428_18_55_10,Exp_freeze,515.7,516.4666666666667,15471,15493,0.7666666666666667
0428_18_55_10,Exp_freeze,516.9666666666667,518.6666666666666,15509,15559,1.7
0428_18_55_10,Exp_freeze,586.5,587.1,17595,17612,0.6
0428_18_55_10,Both_social,129.53333333333333,130.6,3886,3917,1.0666666666666667
0428_18_55_10,Both_social,324.03333333333336,325.3333333333333,9721,9759,1.3
0428_18_55_10,Both_social,361.03333333333336,362.3666666666667,10831,10870,1.3333333333333333
0428_18_55_10,Both_social,375.03333333333336,378.03333333333336,11251,11340,3.0
0428_18_55_10,Both_social,446.0,446.3333333333333,13380,13389,0.3333333333333333
0428_19_12_12,Exp_social,9.033333333333333,32.53333333333333,271,975,23.5
0428_19_12_12,Exp_social,33.36666666666667,41.03333333333333,1001,1230,7.666666666666667
0428_19_12_12,Exp_social,51.03333333333333,56.7,1531,1700,5.666666666666667
0428_19_12_12,Exp_social,58.03333333333333,61.833333333333336,1741,1854,3.8
